time,azimuth,fx1,fy1,fz1,mx1,my1,mz1,fx2,fy2,fz2,mx2,my2,mz2,fx3,fy3,fz3,mx3,my3,mz3,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Fx3,Fy3,Fz3,Mx3,My3,Mz3,Gauge1,Gauge2,Gauge3,Gauge4,Gauge5,Gauge6,Gauge7,
0.10500,32.40973,62.41572,15.90063,-10.09464,-10.57938,52.28484,15.35137,53.86910,-10.32187,-5.39391,9.00243,41.01969,11.46810,61.98094,0.77829,18.49422,7.69935,86.84102,-28.45487,62.41572,8.01348,-17.04453,-10.57938,52.36866,-15.06293,53.86910,6.64992,9.56105,9.00243,-31.04362,-29.16205,61.98094,-18.44514,1.55519,7.69935,32.08098,85.56783,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.11000,33.95305,62.40387,15.61429,-10.51337,-9.96179,51.65894,15.99393,53.23139,-10.21727,-4.99366,8.87407,41.01685,10.73284,61.97459,1.27615,18.46722,6.96626,86.89367,-28.40689,62.40387,7.08013,-17.44158,-9.96179,51.78368,-15.58531,53.23139,6.98679,8.97296,8.87407,-32.13809,-27.65355,61.97459,-18.33530,2.54623,6.96626,34.32967,84.72859,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.11500,35.49638,62.39415,15.31853,-10.92514,-9.33982,51.04291,16.62512,52.62930,-10.11756,-4.61161,8.76107,41.03806,10.01193,61.96866,1.77317,18.42734,6.22146,86.92881,-28.33849,62.39415,6.12792,-17.78945,-9.33982,51.21010,-16.10276,52.62930,7.29365,8.39253,8.76107,-33.18951,-26.13077,61.96866,-18.17277,3.53004,6.22146,36.53448,83.81479,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.12000,37.03970,62.38711,15.01400,-11.33018,-8.71481,50.43761,17.24465,52.02961,-10.00876,-4.24028,8.65055,41.05669,9.29969,61.96329,2.26901,18.37435,5.46593,86.94672,-28.24990,62.38711,5.15951,-18.08791,-8.71481,50.64785,-16.61701,52.02961,7.56171,7.80870,8.65055,-34.17624,-24.57886,61.96329,-17.95775,4.50381,5.46593,38.69287,82.82905,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.12500,38.58302,62.37964,14.69850,-11.72652,-8.08615,49.84077,17.85140,51.47241,-9.90243,-3.88411,8.55178,41.10336,8.60421,61.95991,2.76343,18.30903,4.70093,86.94948,-28.14192,62.37964,4.17667,-18.33337,-8.08615,50.09378,-17.12855,51.47241,7.80035,7.23180,8.55178,-35.12323,-23.01907,61.95991,-17.69156,5.46496,4.70093,40.80329,81.77574,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.13000,40.12634,62.37131,14.37194,-12.11359,-7.45485,49.25252,18.44477,51.02485,-9.81743,-3.54876,8.48039,41.23166,7.93639,61.95609,3.25593,18.23016,3.92713,86.93346,-28.01330,62.37131,3.18224,-18.52471,-7.45485,49.54692,-17.63869,51.02485,8.02636,6.67482,8.48039,-36.07813,-21.48033,61.95609,-17.37372,6.41043,3.92713,42.86150,80.65397,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.13500,41.66966,62.35926,14.03256,-12.48923,-6.82080,48.67085,19.02366,50.65051,-9.75373,-3.23147,8.43615,41.41748,7.28467,61.95336,3.74631,18.13863,3.14594,86.90095,-27.86497,62.35926,2.17891,-18.65867,-6.82080,49.00425,-18.14759,50.65051,8.24254,6.13500,8.43615,-37.02492,-19.94064,61.95336,-17.00594,7.33775,3.14594,44.86634,79.46850,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.14000,43.21298,62.34654,13.68314,-12.85515,-6.18678,48.09876,19.58837,50.30639,-9.69543,-2.92483,8.40492,41.62723,6.64098,61.95292,4.23454,18.03568,2.35855,86.85353,-27.69743,62.34654,1.17037,-18.73802,-6.18678,48.46742,-18.65754,50.30639,8.43752,5.60037,8.40492,-37.93527,-18.38054,61.95292,-16.59033,8.24488,2.35855,46.81643,78.22343,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.14500,44.75630,62.33263,13.32380,-13.21094,-5.55389,47.53628,20.13829,49.97950,-9.63804,-2.62649,8.38246,41.85050,6.00315,61.95330,4.71997,17.91968,1.56593,86.78939,-27.51037,62.33263,0.15961,-18.76239,-5.55389,47.93512,-19.16959,49.97950,8.60836,5.06816,8.38246,-38.79966,-16.79548,61.95330,-16.12644,9.12858,1.56593,48.70900,76.91978,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.15000,46.29962,62.31811,12.95514,-13.55660,-4.92339,46.98434,20.67314,49.67429,-9.58274,-2.33609,8.36941,42.09082,5.37182,61.95465,5.20221,17.79060,0.76933,86.70885,-27.30403,62.31811,-0.85037,-18.73217,-4.92339,47.40679,-19.68511,49.67429,8.75680,4.53924,8.36941,-39.62094,-15.18796,61.95465,-15.61549,9.98623,0.76933,50.54234,75.56062,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.15500,47.84294,62.30376,12.57768,-13.89216,-4.29632,46.44382,21.19288,49.39978,-9.52756,-2.05246,8.36355,42.35560,4.74812,61.95972,5.68152,17.65039,-0.03000,86.61586,-27.07980,62.30376,-1.85666,-18.64787,-4.29632,46.88193,-20.20525,49.39978,8.88167,4.01286,8.36355,-40.40582,-13.56140,61.95972,-15.06054,10.81647,-0.03000,52.31712,74.15215,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.16000,49.38626,62.29245,12.19295,-14.21886,-3.67403,45.91715,21.69821,49.18569,-9.48419,-1.77727,8.37502,42.67106,4.13397,61.96654,6.15736,17.49818,-0.83105,86.50754,-26.83678,62.29245,-2.85667,-18.51171,-3.67403,46.36150,-20.73182,49.18569,8.99458,3.49373,8.37502,-41.17959,-11.92270,61.96654,-14.46222,11.61651,-0.83105,54.03007,72.69469,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.16500,50.92958,62.28111,11.79975,-14.53492,-3.05695,45.40246,22.18766,49.00550,-9.44787,-1.50830,8.39964,43.01627,3.52481,61.97377,6.62920,17.33330,-1.63262,86.38200,-26.57447,62.28111,-3.84741,-18.32200,-3.05695,45.84192,-21.26487,49.00550,9.09195,2.97888,8.39964,-41.92269,-10.26217,61.97377,-13.82157,12.38361,-1.63262,55.67849,71.18959,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.17000,52.47290,62.26990,11.39845,-14.84021,-2.44601,44.90023,22.66096,48.85857,-9.41869,-1.24453,8.43743,43.39139,2.91971,61.98138,7.09665,17.15577,-2.43339,86.23936,-26.29307,62.26990,-4.82604,-18.07943,-2.44601,45.32199,-21.80520,48.85857,9.17450,2.46760,8.43743,-42.63502,-8.57861,61.98138,-13.14030,13.11546,-2.43339,57.26108,69.63994,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.17500,54.01622,62.25816,10.98908,-15.13418,-1.84209,44.41037,23.11748,48.74547,-9.39745,-0.98502,8.48906,43.79762,2.31791,61.98949,7.55939,16.96574,-3.23206,86.07987,-25.99284,62.25816,-5.78962,-17.78436,-1.84209,44.79986,-22.35332,48.74547,9.24357,1.95931,8.48906,-43.31735,-6.87105,61.98949,-12.42038,13.80995,-3.23206,58.77675,68.04899,-0.00601,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
