time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor,c_ref_t,c_ref_n,f_ref_t,f_ref_n
2.275,0.300149981252,5,-5.56742697475,1.21014778865,1.40186357805,85403.1799923,20.4902771302,23.9999963812,0.505748059075,0.202717161149,0.847658351967,0.12182284252,0.039087471626,0.816882146128,0.0813169639815,0.538760520131,0.00512577248598,0.0339604888747
2.3,0.300149981252,5,-5.538599131,1.21729840562,1.40068497003,85331.3778041,20.5073067055,23.9999963812,0.50594394507,0.202859038181,0.84665496474,0.125980376307,0.022378134965,0.816698076858,0.0814540237743,0.538977093145,0.00512578215854,0.0339170373653
2.325,0.300149981252,5,-5.50907220537,1.22051345784,1.3996111303,85265.9582229,20.5272750338,23.9999963812,0.506090596748,0.203020382273,0.845622703607,0.127838804086,0.00525945171871,0.816576841071,0.0815771348637,0.539156877729,0.00512566110166,0.0338763483234
2.35,0.300149981252,5,-5.47938096996,1.21973471642,1.39831155137,85186.7863442,20.5247233637,23.9999963812,0.505974203368,0.202999764778,0.843920114316,0.127054433219,-0.0119222816374,0.816434754903,0.0815118918008,0.539049729125,0.00511205512705,0.0338067473424
2.375,0.300149981252,5,-5.45006317277,1.2149762854,1.39728482044,85124.2366868,20.547523756,23.9999963812,0.506238623101,0.203183991948,0.843136664935,0.124410247424,-0.0288992482105,0.816452907237,0.0817017654687,0.539338576057,0.0051164412111,0.0337752079339
2.4,0.300149981252,5,-5.4216497983,1.20632434634,1.39645482719,85073.6725206,20.5859552419,23.9999963812,0.506564728445,0.203494518355,0.842731197495,0.119640282645,-0.0454325456125,0.8162907518,0.0819616244094,0.539722276017,0.00512661855959,0.033759094664
2.425,0.300149981252,5,-5.39465545078,1.19393559743,1.39567125469,85025.9363612,20.5788261892,23.9999963812,0.506316135755,0.203436915609,0.841432901528,0.112134751888,-0.060910864465,0.816017654684,0.0818178717302,0.539489058113,0.00511188542294,0.0337066486048
2.45,0.300149981252,5,-5.36956903393,1.17803441546,1.39510252089,84991.2884286,20.5791554614,23.9999963812,0.506351209762,0.203439576128,0.840662572389,0.10286382204,-0.0753597423695,0.816068292857,0.0818364889325,0.539520155177,0.00510888233492,0.0336811247167
2.475,0.300149981252,5,-5.34684489632,1.15890879213,1.39467337593,84965.1444122,20.595009156,23.9999963812,0.506525710613,0.203567673981,0.84044280012,0.0918997920066,-0.0885723312368,0.816065953799,0.0819640764127,0.539712871423,0.00511369987264,0.0336724301993
2.5,0.300149981252,5,-5.32689460247,1.13690511804,1.39441352073,84949.3137272,20.5823723415,23.9999963812,0.506315593083,0.203465568519,0.839790470736,0.0790116842132,-0.0999038545885,0.815953358149,0.0818263023068,0.539498075643,0.00510320202517,0.0336464876767
