time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
3.75,1157.49049521,4,0.373831070612,0.521004536411,0.093457767653,171.203917256,31.1137783274,171.634795783,31.2296348331,171.848945977,30.9807098848
3.775,1165.20709852,4,0.373527725871,0.520820913954,0.0933819314678,171.272246699,31.1252857543,171.499856653,31.1734869848,171.733698344,30.9496225667
3.8,1172.92370182,4,0.373369807675,0.520723104426,0.0933424519188,171.375168693,31.1432915142,171.376377279,31.1318267513,171.658087665,30.9338539471
3.825,1180.64030512,4,0.373346967535,0.520766445141,0.0933367418837,171.498427679,31.1474830611,171.325860611,31.098225551,171.630156685,30.9575617307
3.85,1188.35690842,4,0.373115396433,0.520652744639,0.0932788491082,171.511801254,31.1072300724,171.301553074,31.0688386472,171.529105761,30.9693916344
3.875,1196.07351172,4,0.372747724483,0.520443572514,0.0931869311209,171.525101794,31.0633622657,171.270339308,31.0273019998,171.3397076,30.9630095438
3.9,1203.79011502,4,0.372655957092,0.520385633657,0.093163989273,171.568027037,31.0460059813,171.362138596,31.0224384841,171.148687189,30.9623203029
3.925,1211.50671832,4,0.372833296586,0.520497792667,0.0932083241466,171.696021467,31.0642224707,171.467107006,31.0433783451,171.029260993,30.9674354273
3.95,1219.22332163,4,0.372675171903,0.520382730152,0.0931687929758,171.727100703,31.0617871982,171.479785173,31.0350027689,170.872097956,30.9387716347
3.975,1226.93992493,4,0.372435262963,0.520218867467,0.0931088157406,171.751667773,31.0715425711,171.382073291,30.9714653167,170.782995957,30.9326622463
4,1234.65652823,4,0.372233807464,0.52004397817,0.093058451866,171.785648607,31.0971799325,171.289563657,30.898954597,170.668136605,30.9292437503
4.025,1242.37313153,4,0.372312927122,0.52009475924,0.0930782317805,171.785360408,31.1333733698,171.328444982,30.8636120126,170.681351679,30.9481445266
4.05,1250.08973483,4,0.372101393418,0.520003988934,0.0930253483544,171.677461149,31.1325882769,171.41000732,30.8405377076,170.618031145,30.9191961218
4.075,1257.80633813,4,0.372121958451,0.520044096262,0.0930304896127,171.571621751,31.13133608,171.521228002,30.8423597179,170.653552609,30.9237602147
4.1,1265.52294143,4,0.372180944174,0.520077830624,0.0930452360436,171.448385105,31.1215759636,171.593503118,30.8497117156,170.738961683,30.9408936768
4.125,1273.23954474,4,0.372395011554,0.520236868801,0.0930987528886,171.388927996,31.1084406496,171.732814052,30.8913545522,170.818565802,30.9658264702
4.15,1280.95614804,4,0.371958132881,0.51998445038,0.0929895332204,171.242403871,31.0516400109,171.603531288,30.8418694198,170.842911782,30.9630487572
4.175,1288.67275134,4,0.372005293363,0.520044580168,0.0930013233408,171.207936473,31.0322197192,171.565793526,30.8416472311,170.975687916,30.9944644982
4.2,1296.38935464,4,0.371798212055,0.519914348978,0.0929495530136,171.068038338,30.9775486456,171.439792864,30.8248916087,171.112072919,31.0141948985
4.225,1304.10595794,4,0.37197685389,0.520053725315,0.0929942134726,171.176687678,31.0080485372,171.355419353,30.8424874371,171.227452528,31.0106957731
4.25,1311.82256124,4,0.371394074905,0.519731838407,0.0928485187262,171.036403374,30.9205141818,171.179415854,30.8332155753,171.22280932,30.9620155874
4.275,1319.53916454,4,0.371405631284,0.519763980837,0.0928514078209,171.144719618,30.9254883529,171.009830207,30.8452120931,171.316587714,30.9479298618
4.3,1327.25576785,4,0.371349000653,0.519696547716,0.0928372501633,171.229127972,30.9336658166,170.835867599,30.8540084865,171.339222787,30.9168185924
4.325,1334.97237115,4,0.371736077137,0.519915118458,0.0929340192843,171.3019879,30.947609037,170.707259578,30.8494296434,171.613575731,31.0040849563
4.35,1342.68897445,4,0.371341419841,0.519648441929,0.0928353549603,171.324245818,30.926960651,170.547085807,30.8280937001,171.485464693,30.9475460517
