time,x,y,z,rel_vel_mag,alpha_deg,alpha_geom_deg,cl,cd,cm
3.125,5,-5.79992417819,0.85742777181,1.89161601404,18.3456488946,21.1208347352,0.854778679068,0.198105007085,1e-300
3.15,5,-5.81635181477,0.898990682575,1.89208632875,18.329678569,21.1208347352,0.854162046945,0.198025963883,1e-300
3.175,5,-5.82704989688,0.942383007171,1.89257620196,18.3073091577,21.1208347352,0.853210957272,0.197919929806,1e-300
3.2,5,-5.83182466796,0.986818852566,1.89323527867,18.2832623768,21.1208347352,0.851962902978,0.197879710845,1e-300
3.225,5,-5.83058965051,1.03149342617,1.8936762538,18.2598300302,21.1208347352,0.850995912118,0.197823785398,1e-300
3.25,5,-5.82336721234,1.07559761171,1.89419132834,18.2435119588,21.1208347352,0.850553530563,0.197783226531,1e-300
3.275,5,-5.81028816148,1.11833262339,1.89473070503,18.2287843657,21.1208347352,0.850019740426,0.197761627023,1e-300
3.3,5,-5.79158937703,1.158924473,1.8950772117,18.2149437615,21.1208347352,0.849875397929,0.19768272364,1e-300
3.325,5,-5.76760951898,1.19663798785,1.89527629878,18.2025714626,21.1208347352,0.848782213089,0.197748610177,1e-300
3.35,5,-5.73878289463,1.23079012576,1.89535972438,18.2097992339,21.1208347352,0.849424855028,0.197729663792,1e-300
3.375,5,-5.7056315927,1.26076234582,1.89507135897,18.2013047039,21.1208347352,0.848469968972,0.197767834729,1e-300
3.4,5,-5.66875602762,1.28601181104,1.8945764819,18.2086075028,21.1208347352,0.848874627741,0.197771981203,1e-300
3.425,5,-5.62882406517,1.30608121985,1.89377434733,18.217107517,21.1208347352,0.849219145844,0.197792734336,1e-300
3.45,5,-5.58655892661,1.32060708841,1.89280110209,18.2301621651,21.1208347352,0.849680489725,0.197815883011,1e-300
3.475,5,-5.54272609012,1.3293263338,1.89156816216,18.2430543172,21.1208347352,0.849819758843,0.19788547552,1e-300
3.5,5,-5.498119427,1.33208103884,1.88997078004,18.2628765378,21.1208347352,0.850356146766,0.197986700717,1e-300
3.525,5,-5.45354682357,1.32882131213,1.88844031886,18.2783821799,21.1208347352,0.850996012628,0.198027147554,1e-300
3.55,5,-5.40981554929,1.31960619168,1.88731567874,18.2921356935,21.1208347352,0.851399325793,0.19811421593,1e-300
3.575,5,-5.36771763603,1.30460257566,1.88637847503,18.3018480446,21.1208347352,0.851622241398,0.198176058996,1e-300
3.6,5,-5.3280155333,1.2840821996,1.88566942934,18.3089748445,21.1208347352,0.851889918288,0.198179373447,1e-300
3.625,5,-5.29142829928,1.25841671496,1.88520013298,18.3109226457,21.1208347352,0.851558704581,0.198251513607,1e-300
3.65,5,-5.25861857771,1.22807095801,1.88497592935,18.317807245,21.1208347352,0.852206477679,0.198216456932,1e-300
3.675,5,-5.23018059653,1.19359453097,1.88488461564,18.3074568199,21.1208347352,0.851579222052,0.198207665428,1e-300
3.7,5,-5.2066294056,1.15561184806,1.88514633513,18.3052693798,21.1208347352,0.851852687022,0.198163179008,1e-300
3.725,5,-5.18839154851,1.11481082646,1.88550223657,18.3010686044,21.1208347352,0.851444773618,0.198164081645,1e-300
3.75,5,-5.17579733723,1.07193042725,1.88603426342,18.295340823,21.1208347352,0.851109324297,0.198132210361,1e-300
3.775,5,-5.16907486976,1.02774727179,1.88658603279,18.2928392012,21.1208347352,0.850865469086,0.19813616393,1e-300
3.8,5,-5.168345899,0.983061576135,1.88727485645,18.2897249634,21.1208347352,0.850690430179,0.198131535779,1e-300
3.825,5,-5.17362362757,0.938682657988,1.8881692676,18.2813551537,21.1208347352,0.850506988661,0.19810207908,1e-300
3.85,5,-5.18481246875,0.895414278911,1.88880965865,18.269913462,21.1208347352,0.849960367585,0.198118872555,1e-300
3.875,5,-5.20170977766,0.85404008712,1.88935965837,18.2554072003,21.1208347352,0.849608474778,0.198066502814,1e-300
3.9,5,-5.22400952144,0.815309424562,1.88993545849,18.2426399497,21.1208347352,0.849004039537,0.198050789004,1e-300
3.925,5,-5.2513078219,0.779923755336,1.89050887703,18.2392436602,21.1208347352,0.849022270049,0.198045460897,1e-300
3.95,5,-5.28311027032,0.748523961238,1.89083400564,18.2317475087,21.1208347352,0.84877769326,0.198004177746,1e-300
3.975,5,-5.31884088181,0.721678734532,1.89095134871,18.2282537011,21.1208347352,0.848793433593,0.197963213371,1e-300
4,5,-5.35785252723,0.69987427818,1.890833173,18.2298700308,21.1208347352,0.84922920306,0.197907387067,1e-300
4.025,5,-5.39943865349,0.683505500046,1.89052457135,18.2323497829,21.1208347352,0.8494387558,0.197869816987,1e-300
4.05,5,-5.44284608023,0.672868860596,1.8901338215,18.2324603352,21.1208347352,0.849240223367,0.197852902227,1e-300
4.075,5,-5.48728864089,0.668157003595,1.88953054437,18.2373017385,21.1208347352,0.849414442022,0.197866751078,1e-300
4.1,5,-5.53196142127,0.669455267076,1.8888248393,18.2401079339,21.1208347352,0.849636137177,0.197859913265,1e-300
4.125,5,-5.57605533756,0.67674013775,1.88838833146,18.2422411601,21.1208347352,0.849952869819,0.197865918277,1e-300
4.15,5,-5.61877178997,0.689879676867,1.88799559144,18.2377261122,21.1208347352,0.849736737889,0.19788533353,1e-300
4.175,5,-5.65933712642,0.7086359098,1.88775175954,18.2301999293,21.1208347352,0.850061160407,0.197782046461,1e-300
4.2,5,-5.6970166544,0.732669136086,1.88771285563,18.2183874374,21.1208347352,0.849119137097,0.197818486717,1e-300
4.225,5,-5.73112794728,0.761544081853,1.88793939491,18.2184264782,21.1208347352,0.849627352234,0.197758541197,1e-300
4.25,5,-5.76105320391,0.794737783215,1.88826405626,18.1956937739,21.1208347352,0.848273660166,0.197760183404,1e-300
4.275,5,-5.78625043789,0.831649057848,1.88883323103,18.1876741988,21.1208347352,0.848342757789,0.197708542759,1e-300
4.3,5,-5.80626329359,0.8716093932,1.88942248641,18.1775523408,21.1208347352,0.848037293966,0.197668101237,1e-300
4.325,5,-5.82072931144,0.913895054155,1.89006874574,18.1636251799,21.1208347352,0.847561825386,0.197578892465,1e-300
4.35,5,-5.8293864925,0.957740190838,1.89082895611,18.1414550883,21.1208347352,0.848057676382,0.19736893154,1e-300
4.375,5,-5.83207804366,1.00235070919,1.89161258442,18.1206426974,21.1208347352,0.847444682631,0.1973005829,1e-300
4.4,5,-5.82875521731,1.04691865304,1.89208772293,18.101361387,21.1208347352,0.847392025679,0.197179852132,1e-300
4.425,5,-5.81947819429,1.09063683735,1.89266779234,18.0873096024,21.1208347352,0.847725334971,0.197092767438,1e-300
4.45,5,-5.8044149939,1.13271346731,1.89323160537,18.0773824806,21.1208347352,0.847780441011,0.197028453142,1e-300
4.475,5,-5.78383843083,1.17238647888,1.8937488941,18.074848617,21.1208347352,0.847846500279,0.196995850812,1e-300
4.5,5,-5.75812117416,1.20893734076,1.8940714854,18.0743051008,21.1208347352,0.847663286423,0.197032995943,1e-300
4.525,5,-5.72772899781,1.24170406796,1.89414501974,18.0846418986,21.1208347352,0.848432994716,0.197022082897,1e-300
4.55,5,-5.69321234474,1.27009321123,1.89377714505,18.0857067074,21.1208347352,0.847659205318,0.197105555047,1e-300
4.575,5,-5.6551963577,1.29359060521,1.89314920903,18.0995250184,21.1208347352,0.846972137632,0.197250940406,1e-300
4.6,5,-5.61436955706,1.31177068068,1.89220880055,18.1174771104,21.1208347352,0.84660751769,0.197414034396,1e-300
4.625,5,-5.57147137077,1.32430417215,1.89113811061,18.1378619299,21.1208347352,0.846316131876,0.197557124728,1e-300
4.65,5,-5.52727874238,1.33096408133,1.88967730719,18.1624265943,21.1208347352,0.846702949648,0.197698496358,1e-300
4.675,5,-5.48259205947,1.33162978835,1.88790070962,18.1884156398,21.1208347352,0.847495938021,0.197818429068,1e-300
4.7,5,-5.43822065765,1.32628923637,1.8863494753,18.2117476385,21.1208347352,0.8484256518,0.197910960371,1e-300
4.725,5,-5.39496816235,1.31503914994,1.88512782782,18.2313334439,21.1208347352,0.848940501627,0.198040932463,1e-300
4.75,5,-5.3536179341,1.29808328315,1.88412964111,18.2475513694,21.1208347352,0.849599772339,0.19807419805,1e-300
4.775,5,-5.31491888084,1.27572872945,1.88348846909,18.2618871119,21.1208347352,0.849755503863,0.198131693222,1e-300
